Accuratezza_Ada,Accuratezza_SVM,Accuratezza_Random_forest,Accuratezza_Decision_tree,G3,Number_row,Number_class
0.1511111111111111,0.1688888888888889,0.1511111111111111,0.18666666666666668,0.4177777777777778,100,3
0.08888888888888889,0.06666666666666667,0.022222222222222223,0.057777777777777775,0.37777777777777777,225,3
0.03111111111111111,0.057777777777777775,0.044444444444444446,0.09777777777777778,0.36444444444444446,100,3
0.04888888888888889,0.022222222222222223,0.02666666666666667,0.11555555555555555,0.37333333333333335,225,3
0.044444444444444446,0.02666666666666667,0.03111111111111111,0.09777777777777778,0.3688888888888889,100,3
0.022222222222222223,0.03111111111111111,0.008888888888888889,0.08444444444444445,0.36,225,3
0.02666666666666667,0.017777777777777778,0.022222222222222223,0.08,0.36444444444444446,100,3
0.03111111111111111,0.022222222222222223,0.017777777777777778,0.10666666666666667,0.35555555555555557,225,3
0.022222222222222223,0.017777777777777778,0.02666666666666667,0.13777777777777778,0.3511111111111111,100,3
0.013333333333333334,0.017777777777777778,0.022222222222222223,0.10222222222222223,0.37333333333333335,225,3
0.0044444444444444444,0.0044444444444444444,0.03111111111111111,0.13777777777777778,0.36,100,3
0.017777777777777778,0.022222222222222223,0.03111111111111111,0.12444444444444444,0.3422222222222222,225,3
0.0044444444444444444,0.017777777777777778,0.022222222222222223,0.15555555555555556,0.37333333333333335,100,3
0.02666666666666667,0.017777777777777778,0.013333333333333334,0.08,0.38666666666666666,225,3
